role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
study,1194,reject,frame_crossing+arena+ref_contact,4.443,5.604,14.62,7.757,1.274,5.658,1.69,2.0,0.0
study,1195,reject,frame_crossing+arena+ref_contact,4.707,5.042,14.698,7.611,1.146,5.394,1.671,1.0,0.0
study,1196,reject,frame_crossing+arena+ref_contact,4.831,5.657,14.621,7.792,1.286,6.212,1.228,1.0,0.0
study,1197,reject,frame_crossing+arena+ref_contact,5.111,5.646,14.718,7.698,1.283,6.558,2.093,3.0,0.0
study,1198,reject,frame_crossing+arena+ref_contact,5.2,5.074,14.601,8.464,1.153,5.997,1.754,2.0,0.0
study,1199,reject,frame_crossing+arena+ref_contact,4.595,5.936,14.665,5.91,1.349,6.199,2.019,2.0,0.0
study,1200,reject,arena,3.887,4.582,14.647,6.769,1.041,4.048,1.553,0.0,0.036
study,1201,reject,frame_crossing+arena+ref_contact,4.716,4.822,14.588,8.729,1.096,5.169,1.249,2.0,0.0
study,1202,reject,frame_crossing+arena+ref_contact,5.073,6.246,14.727,9.794,1.42,7.201,1.856,3.0,0.0
study,1203,reject,arena+ref_contact,4.22,5.409,14.687,8.893,1.229,5.187,1.403,0.0,0.0
study,1204,reject,frame_crossing+arena+ref_contact,4.832,6.287,14.631,9.758,1.429,6.903,1.651,2.0,0.0
study,1205,reject,frame_crossing+ref_contact,4.486,5.399,14.672,9.654,1.227,5.505,1.712,2.0,0.0
study,1206,reject,frame_crossing+arena+ref_contact,4.64,5.574,14.583,7.109,1.267,5.878,1.271,2.0,0.0
study,1207,reject,frame_crossing+arena+ref_contact,5.07,5.347,14.692,7.616,1.215,6.161,1.723,1.0,0.0
study,1208,reject,frame_crossing+arena+ref_contact,4.843,5.085,14.669,7.205,1.156,5.596,1.496,3.0,0.0
study,1209,reject,frame_crossing+arena+ref_contact,4.685,5.483,14.656,7.994,1.246,5.838,1.856,1.0,0.0
study,1210,reject,frame_crossing+arena+ref_contact,4.802,6.294,14.743,8.733,1.431,6.869,2.361,2.0,0.0
study,1211,reject,frame_crossing+arena+ref_contact,4.3,5.417,14.713,5.695,1.231,5.294,1.595,1.0,0.0
study,1212,reject,frame_crossing+ref_contact,5.053,5.96,14.574,8.372,1.355,6.844,1.671,3.0,0.0
study,1213,reject,frame_crossing+ref_contact,4.733,5.375,14.702,8.56,1.222,5.782,1.821,1.0,0.0
study,1214,reject,frame_crossing+arena+ref_contact,4.172,4.076,14.715,5.175,1.0,4.172,1.249,2.0,0.0
study,1215,reject,frame_crossing+arena+ref_contact,4.441,4.986,14.671,10.511,1.133,5.033,1.687,1.0,0.0
study,1216,reject,frame_crossing+arena+ref_contact,4.768,5.688,14.733,7.389,1.293,6.163,1.333,1.0,0.0
study,1217,reject,frame_crossing+ref_contact,4.444,4.698,14.661,5.195,1.068,4.744,1.148,1.0,0.0
study,1218,reject,frame_crossing+arena+ref_contact,4.482,6.55,14.734,6.581,1.489,6.672,1.553,1.0,0.0
study,1219,reject,frame_crossing+arena+ref_contact,4.154,4.227,14.71,7.927,1.0,4.154,1.249,2.0,0.0
study,1220,reject,arena,4.485,5.196,14.625,9.108,1.181,5.297,1.56,0.0,0.047
study,1221,reject,frame_crossing+arena+ref_contact,4.538,5.245,14.603,7.174,1.192,5.409,1.644,3.0,0.0
study,1222,reject,frame_crossing+arena+ref_contact,4.393,6.014,14.759,5.861,1.367,6.005,1.582,1.0,0.0
study,1223,reject,frame_crossing+arena+ref_contact,4.715,5.8,14.657,7.998,1.318,6.216,2.552,1.0,0.0
study,1224,reject,frame_crossing+arena+ref_contact,4.969,5.048,14.737,8.628,1.147,5.701,1.398,3.0,0.0
study,1225,reject,frame_crossing+arena+ref_contact,4.968,6.109,14.698,7.396,1.388,6.898,1.133,2.0,0.0
study,1226,reject,frame_crossing+arena+ref_contact,4.09,4.792,14.668,5.663,1.089,4.454,1.047,1.0,0.0
study,1227,reject,frame_crossing+arena+ref_contact,5.28,5.602,14.63,7.484,1.273,6.723,1.895,2.0,0.0
study,1228,reject,frame_crossing+arena+ref_contact,4.059,4.211,14.716,9.221,1.0,4.059,1.063,1.0,0.0
study,1229,reject,frame_crossing+ref_contact,3.906,4.096,14.612,8.89,1.0,3.906,1.015,2.0,0.0
study,1230,reject,frame_crossing+arena+ref_contact,4.857,5.528,14.637,6.136,1.256,6.102,1.744,2.0,0.0
study,1231,reject,frame_crossing+arena+ref_contact,5.166,4.986,14.773,8.042,1.133,5.854,1.687,3.0,0.0
study,1232,reject,frame_crossing+arena+ref_contact,4.296,5.488,14.739,8.595,1.247,5.359,1.408,1.0,0.0
study,1233,reject,frame_crossing+arena+ref_contact,5.04,6.434,14.702,8.233,1.462,7.369,1.772,2.0,0.0
study,1234,reject,frame_crossing+arena+ref_contact,5.137,6.047,14.528,7.259,1.374,7.059,1.883,2.0,0.0
study,1235,reject,arena+frame_margin,4.238,5.359,14.69,7.279,1.218,5.162,1.204,0.0,0.016
study,1236,reject,frame_crossing+arena+ref_contact,4.444,5.363,14.732,8.449,1.219,5.417,1.807,2.0,0.0
study,1237,reject,arena,3.586,6.12,14.705,6.292,1.391,4.988,1.579,0.0,0.038
